t,value
1616306237,11
1616306237,11
1616306237,11
1616306237,11
1616306237,11
1616306237,11
1616306237,11
1616306237,11
1616306237,11
1616306237,11
1616306237,11
1616306237,11
1616306237,11
1616306237,11
1616306237,11
1616306237,11
1616306237,11
1616306237,11
1616306237,11
1616306237,11
1616306237,11
1616306237,11
1616306237,11
1616306237,11
1616306237,11
1616306237,11
1616306237,11
1616306237,11
1616306237,11
1616306237,11
1616306237,11
1616306237,11
1616306237,11
1616306237,11
1616306237,11
1616306237,11
1616306237,11
1616306237,11
1616306237,11
1616306237,11
1616306237,11
1616306237,11
1616306237,11
1616306237,11
1616306237,11
1616306237,11
1616306237,11
1616306237,11
1616306237,11
1616306237,11
1616306237,11
1616306237,11
1616306237,11
1616306237,11
1616306237,11
1616306237,11
1616306237,11
1616306237,11
1616306237,11
1616306237,11
1616306237,11
1616306237,11
1616306237,11
1616306237,11
1616306237,11
1616306237,11
1616306237,11
1616306237,11
1616306237,11
1616306237,11
1616306238,11
1616306238,11
1616306238,11
1616306238,11
1616306238,11
1616306238,11
1616306238,11
1616306238,11
1616306238,11
1616306238,11
1616306238,11
1616306238,11
1616306238,11
1616306238,11
1616306238,11
1616306238,11
1616306238,11
1616306238,11
1616306238,11
1616306238,11
1616306238,11
1616306238,11
1616306238,11
1616306238,11
1616306238,11
1616306238,11
1616306238,11
1616306238,11
1616306238,11
1616306238,11
1616306238,11
1616306238,11
1616306238,11
1616306238,11
1616306238,11
1616306238,11
1616306238,11
1616306238,11
1616306238,11
1616306238,11
1616306238,11
1616306238,11
1616306238,11
1616306238,11
1616306238,11
1616306238,11
1616306238,11
1616306238,11
1616306238,11
1616306238,11
1616306238,11
1616306238,11
1616306238,11
1616306238,11
1616306238,11
1616306238,11
1616306238,11
1616306238,11
1616306238,11
1616306238,11
1616306238,11
1616306238,11
1616306238,11
1616306238,11
1616306238,11
1616306239,11
1616306239,11
1616306239,11
1616306239,11
1616306239,11
1616306239,11
1616306239,11
1616306239,11
1616306239,11
1616306239,11
1616306239,11
1616306239,11
1616306239,11
1616306239,11
1616306239,11
1616306239,11
1616306239,11
1616306239,11
1616306239,11
1616306239,11
1616306239,11
